ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-04-18,238.69481470938436,213.01980157629654,260.4144824462398,238.69481470938436,238.69481470938436,-2.7426262349943835,-2.7426262349943835,-2.7426262349943835,-2.7426262349943835,-2.7426262349943835,-2.7426262349943835,0.0,0.0,0.0,235.95218847438997
2022-04-19,239.31586593057798,211.74335691424858,261.3135885765645,239.31586593057798,239.31586593057798,-3.1776602460176857,-3.1776602460176857,-3.1776602460176857,-3.1776602460176857,-3.1776602460176857,-3.1776602460176857,0.0,0.0,0.0,236.1382056845603
2022-04-20,239.9369171517716,210.97567932489486,257.98213000818026,239.9369171517716,239.9369171517716,-5.286200794315669,-5.286200794315669,-5.286200794315669,-5.286200794315669,-5.286200794315669,-5.286200794315669,0.0,0.0,0.0,234.65071635745593
2022-04-21,240.55796837296518,210.36514125122565,260.6545709863912,240.55796837296518,240.55796837296518,-4.984967063997728,-4.984967063997728,-4.984967063997728,-4.984967063997728,-4.984967063997728,-4.984967063997728,0.0,0.0,0.0,235.57300130896746
2022-04-22,241.17901959415877,214.88886990486057,263.1674996832882,241.17901959415877,241.17901959415877,-3.2896684854823297,-3.2896684854823297,-3.2896684854823297,-3.2896684854823297,-3.2896684854823297,-3.2896684854823297,0.0,0.0,0.0,237.88935110867644
2022-04-25,243.0421732577396,214.38338885889314,266.34593823599664,243.0421732577396,243.0421732577396,-2.742626234993775,-2.742626234993775,-2.742626234993775,-2.742626234993775,-2.742626234993775,-2.742626234993775,0.0,0.0,0.0,240.29954702274583
2022-04-26,243.66322447893316,216.2317341208768,265.48495775227457,243.66322447893316,243.66322447893316,-3.177660246021869,-3.177660246021869,-3.177660246021869,-3.177660246021869,-3.177660246021869,-3.177660246021869,0.0,0.0,0.0,240.4855642329113
2022-04-27,244.1367807905377,215.88954870765753,264.1521195411182,244.1367807905377,244.1367807905377,-5.286200794316445,-5.286200794316445,-5.286200794316445,-5.286200794316445,-5.286200794316445,-5.286200794316445,0.0,0.0,0.0,238.85057999622126
2022-04-28,244.6103371021423,214.48018977944017,263.4479580060002,244.6103371021423,244.6103371021423,-4.984967063994385,-4.984967063994385,-4.984967063994385,-4.984967063994385,-4.984967063994385,-4.984967063994385,0.0,0.0,0.0,239.6253700381479
2022-04-29,245.08389341374686,216.31622066801674,266.00680596920324,245.08389341374686,245.08389341374686,-3.289668485482452,-3.289668485482452,-3.289668485482452,-3.289668485482452,-3.289668485482452,-3.289668485482452,0.0,0.0,0.0,241.7942249282644
2022-05-05,247.92523128337422,217.75025829334672,265.8632847230181,247.92523128337422,247.92523128337422,-4.98496706400325,-4.98496706400325,-4.98496706400325,-4.98496706400325,-4.98496706400325,-4.98496706400325,0.0,0.0,0.0,242.94026421937096
2022-05-06,248.39878759497878,220.88900272947612,270.1946491963881,248.39878759497878,248.39878759497878,-3.2896684854825726,-3.2896684854825726,-3.2896684854825726,-3.2896684854825726,-3.2896684854825726,-3.2896684854825726,0.0,0.0,0.0,245.10911910949622
2022-05-09,249.8194565297925,223.28638559392056,270.6772786603784,249.8194565297925,249.8194565297925,-2.742626234974868,-2.742626234974868,-2.742626234974868,-2.742626234974868,-2.742626234974868,-2.742626234974868,0.0,0.0,0.0,247.07683029481763
2022-05-10,250.293012841397,224.36732625750275,272.11740676788787,250.293012841397,250.293012841397,-3.1776602460221297,-3.1776602460221297,-3.1776602460221297,-3.1776602460221297,-3.1776602460221297,-3.1776602460221297,0.0,0.0,0.0,247.11535259537487
